(0.0, 0.05070124185184127)
(0.0, 0.009650526455021284)
(0.0, 0.02460853897380439)
(0.0, 0.03314647746828727)
(0.0, 0.01686324629598649)
(0.0, 0.030200539296488155)
(0.0, 0.028559033953504377)
(0.0, 0.011035316694232708)
(0.0, 0.019694411748641023)
(0.0, 0.024624977865879687)
(0.0, 0.04556495207690166)
(0.0, 0.024409623635370366)
(0.0, 0.042997985048333506)
(0.0, 0.03036711033645948)
(0.0, 0.022784046572892673)
(0.0, 0.042065417767985905)
(0.0, 0.031541728490238986)
(0.020961222736954502, 0.0352843389235735)
(0.0, 0.013896836931883483)
(0.0, 0.0440197242457485)
(0.0, 0.00830169810376251)
(0.0, 0.030058855613355296)
(0.0, 0.018025264445398627)
(0.024152068551070893, 0.030999528291887558)
(0.0, 0.0390977600326203)
(0.0, 0.01825753805188684)
(0.0, 0.009664896367552057)
(0.0, 0.022038086035452924)
(0.0, 0.031136293392052768)
(0.0, 0.0)
(0.0, 0.025871724631476974)
(0.0, 0.018176075325702312)
(0.0, 0.022690154698097428)
(0.0, 0.029833598179016783)
(0.0, 0.00571973611156185)
(0.0, 0.073885041573627)
(0.0, 0.014012502051990828)
(0.0, 0.04323061108408592)
(0.0, 0.02650918333570254)
(0.02756445580839273, 0.0543280807562623)
(0.0, 0.02471531937721753)
(0.0, 0.017587594174550587)
(0.0, 0.009659472525109312)
(0.0, 0.030940019274502628)
(0.0, 0.03527739681830505)
(0.0, 0.0)
(0.034156255536601864, 0.07552394472976451)
(0.0, 0.02165103205740739)
(0.0, 0.01138557085857205)
(0.0, 0.04126225169444458)
(0.0, 0.005809943754124804)
(0.037210328592539185, 0.06717980349013183)
(0.0, 0.00869523561929729)
(0.0, 0.015248343032681045)
(0.0, 0.05387917313363011)
(0.0, 0.015620289673659565)
(0.0, 0.03201448844537671)
(0.0, 0.047285944760917895)
(0.0, 0.04281141632505662)
(0.0, 0.05609179285225909)
(0.0, 0.014202107874538877)
(0.022366874447125946, 0.12439359487239185)
(0.0, 0.017380511616172857)
(0.0, 0.04878198814056852)
(0.0, 0.05753257132251553)
(0.0, 0.023751125913157433)
(0.0, 0.061707837688570924)
(0.0, 0.03151687775368069)
(0.0, 0.01687830562838679)
(0.0, 0.05580294734094239)
(0.0, 0.015450197157006934)
(0.0, 0.03134315896273625)
(0.0, 0.02056269990993331)
(0.0, 0.05173636917158867)
(0.0, 0.05788965224342437)
(0.0, 0.05261943054774528)
(0.026920819675347735, 0.04215178771774135)
(0.0, 0.015856785190712226)
(0.0, 0.03026365568138826)
(0.0, 0.04304615008418995)
(0.0, 0.04008141867034093)
(0.020541620516082777, 0.08386386538542376)
(0.0, 0.034721416524678236)
(0.0, 0.06643761904573939)
(0.0, 0.023525066838780966)
(0.0, 0.034544884258607425)
(0.0, 0.08554681481640039)
(0.0, 0.07629244724304415)
(0.0, 0.02556667399071636)
(0.0, 0.038606559535323846)
(0.0, 0.045108854510011634)
(0.0, 0.06480236118489527)
(0.0, 0.006511880541060902)
(0.0, 0.14237504007620602)
(0.0, 0.036240956741613053)
(0.0, 0.014539858467897099)
(0.0, 0.014925519238275559)
(0.0, 0.042702667986488425)
(0.0, 0.020235258354510472)
(0.0, 0.02996524231250456)
(0.03948206313885853, 0.09378331435206536)
(0.0, 0.062213009760468355)
(0.0, 0.008621150392696213)
(0.0, 0.03352141342551075)
(0.0, 0.04105040514208434)
